Against,Beneficiary,Game_ID,Date,Ref_Crew,Total_Count,Total_Yards,Off_Count,Off_Yards,Def_Count,Def_Yards,ST_Count,ST_Yards,Pre-Snap,Off_Pre-Snap,Def_Pre-Snap,ST_Pre-Snap,Declined,Offsetting,Week,Year
Indianapolis,Seattle,52,10/4/2009,Mike Carey,7,48,4,35,2,8,1,5,2,1,0,1,0,0,4,2009
Tennessee,Jacksonville,53,10/4/2009,Al Riveron,6,68,1,6,2,37,3,25,1,1,0,0,1,0,4,2009
Jacksonville,Tennessee,53,10/4/2009,Al Riveron,4,30,3,25,1,5,0,0,1,1,0,0,0,0,4,2009
N.Y. Giants,Kansas City,54,10/4/2009,Jerome Boger,8,54,2,15,5,34,1,5,4,1,2,1,3,1,4,2009
Kansas City,N.Y. Giants,54,10/4/2009,Jerome Boger,7,55,5,25,2,30,0,0,5,5,0,0,1,1,4,2009
New England,Baltimore,55,10/4/2009,Ron Winter,5,41,2,15,2,20,1,6,3,1,1,1,4,0,4,2009
Baltimore,New England,55,10/4/2009,Ron Winter,9,85,4,30,4,50,1,5,3,2,0,1,0,0,4,2009
Tampa Bay,Washington,56,10/4/2009,Ed Hochuli,5,40,4,30,0,0,1,10,2,2,0,0,1,0,4,2009
Washington,Tampa Bay,56,10/4/2009,Ed Hochuli,4,40,4,40,0,0,0,0,1,1,0,0,0,0,4,2009
Miami,Buffalo,57,10/4/2009,Carl Cheffers,5,45,2,10,1,15,2,20,3,2,0,1,1,0,4,2009
Buffalo,Miami,57,10/4/2009,Carl Cheffers,3,19,2,9,0,0,1,10,1,1,0,0,0,0,4,2009
New Orleans,N.Y. Jets,58,10/4/2009,Bill Leavy,7,70,4,30,2,30,1,10,2,2,0,0,0,0,4,2009
N.Y. Jets,New Orleans,58,10/4/2009,Bill Leavy,3,21,1,15,2,6,0,0,2,0,2,0,0,0,4,2009
Denver,Dallas,59,10/4/2009,Walt Anderson,10,81,5,40,2,17,3,24,2,2,0,0,0,0,4,2009
Dallas,Denver,59,10/4/2009,Walt Anderson,7,70,4,35,3,35,0,0,1,1,0,0,1,0,4,2009
St. Louis,San Francisco,60,10/4/2009,Tony Corrente,10,73,5,25,3,31,2,17,3,3,0,0,0,0,4,2009
San Francisco,St. Louis,60,10/4/2009,Tony Corrente,3,33,3,33,0,0,0,0,0,0,0,0,2,0,4,2009
San Diego,Pittsburgh,61,10/4/2009,Jeff Triplette,3,20,0,0,2,15,1,5,0,0,0,0,1,0,4,2009
Pittsburgh,San Diego,61,10/4/2009,Jeff Triplette,6,59,3,25,2,31,1,3,2,1,1,0,1,0,4,2009
Green Bay,Minnesota,62,10/5/2009,Gene Steratore,7,57,2,15,3,22,2,20,1,1,0,0,2,0,4,2009
Minnesota,Green Bay,62,10/5/2009,Gene Steratore,2,10,0,0,2,10,0,0,2,0,2,0,1,0,4,2009
Cincinnati,Baltimore,63,10/11/2009,Jeff Triplette,7,39,6,34,1,5,0,0,6,5,1,0,0,0,5,2009
Baltimore,Cincinnati,63,10/11/2009,Jeff Triplette,10,76,3,30,6,41,1,5,4,1,2,1,2,0,5,2009
Buffalo,Cleveland,64,10/11/2009,Jerome Boger,13,75,11,65,1,5,1,5,10,9,1,0,2,0,5,2009
Cleveland,Buffalo,64,10/11/2009,Jerome Boger,3,29,0,0,2,17,1,12,0,0,0,0,1,0,5,2009
Carolina,Washington,65,10/11/2009,Walt Coleman,5,27,2,15,3,12,0,0,3,1,2,0,1,0,5,2009
Washington,Carolina,65,10/11/2009,Walt Coleman,4,20,1,5,2,10,1,5,2,1,1,0,1,0,5,2009
Pittsburgh,Detroit,66,10/11/2009,Ed Hochuli,6,59,4,25,1,27,1,7,3,3,0,0,2,0,5,2009
Detroit,Pittsburgh,66,10/11/2009,Ed Hochuli,6,66,5,51,1,15,0,0,1,1,0,0,1,0,5,2009
Dallas,Kansas City,67,10/11/2009,Ron Winter,13,90,7,45,6,45,0,0,7,4,3,0,1,1,5,2009
Kansas City,Dallas,67,10/11/2009,Ron Winter,7,50,6,45,1,5,0,0,3,3,0,0,0,1,5,2009
Oakland,N.Y. Giants,68,10/11/2009,John Parry,7,67,2,15,4,37,1,15,2,1,1,0,1,0,5,2009
N.Y. Giants,Oakland,68,10/11/2009,John Parry,4,37,1,15,1,9,2,13,0,0,0,0,0,0,5,2009
Philadelphia,Tampa Bay,69,10/11/2009,Terry McAulay,10,111,1,10,6,76,3,25,3,0,2,1,1,1,5,2009
Tampa Bay,Philadelphia,69,10/11/2009,Terry McAulay,4,30,2,15,1,5,1,10,1,1,0,0,0,1,5,2009
