Game_ID,Away_Team,Home_Team,Date,Ref_Crew,Accepted_Count,Yards,Away_Count,Away_Yards,Home_Count,Home_Yards,Total_Flags,Week,Year
127,Tennessee,San Francisco,11/8/2009,Carl Cheffers,13,83,8,58,5,25,16,9,2009
128,Dallas,Philadelphia,11/8/2009,Walt Coleman,19,152,11,70,8,82,19,9,2009
129,Pittsburgh,Denver,11/9/2009,Don Carey,7,53,4,28,3,25,8,9,2009
130,Chicago,San Francisco,11/12/2009,Ron Winter,19,152,10,75,9,77,24,10,2009
131,Atlanta,Carolina,11/15/2009,Bill Leavy,9,74,4,26,5,48,12,10,2009
132,Tampa Bay,Miami,11/15/2009,Tony Corrente,12,107,9,77,3,30,14,10,2009
133,Detroit,Minnesota,11/15/2009,Walt Anderson,17,131,4,40,13,91,21,10,2009
134,Jacksonville,N.Y. Jets,11/15/2009,Ed Hochuli,9,66,5,40,4,26,10,10,2009
135,Cincinnati,Pittsburgh,11/15/2009,Terry McAulay,12,137,7,87,5,50,13,10,2009
136,New Orleans,St. Louis,11/15/2009,Gene Steratore,10,60,6,40,4,20,12,10,2009
137,Buffalo,Tennessee,11/15/2009,John Parry,18,140,10,65,8,75,22,10,2009
138,Denver,Washington,11/15/2009,Pete Morelli,6,64,4,45,2,19,8,10,2009
139,Kansas City,Oakland,11/15/2009,Mike Carey,15,123,5,35,10,88,19,10,2009
140,Seattle,Arizona,11/15/2009,Walt Coleman,20,249,9,113,11,136,26,10,2009
141,Dallas,Green Bay,11/15/2009,Jeff Triplette,22,167,10,67,12,100,27,10,2009
142,Philadelphia,San Diego,11/15/2009,Jerome Boger,12,101,9,70,3,31,14,10,2009
143,New England,Indianapolis,11/15/2009,Scott Green,7,92,4,72,3,20,8,10,2009
144,Baltimore,Cleveland,11/16/2009,Carl Cheffers,13,95,7,43,6,52,17,10,2009
145,Miami,Carolina,11/19/2009,Walt Anderson,9,65,5,30,4,35,9,11,2009
146,Indianapolis,Baltimore,11/22/2009,John Parry,7,60,5,40,2,20,7,11,2009
147,Washington,Dallas,11/22/2009,Al Riveron,11,62,5,27,6,35,13,11,2009
148,Cleveland,Detroit,11/22/2009,Terry McAulay,16,110,8,69,8,41,17,11,2009
149,San Francisco,Green Bay,11/22/2009,Scott Green,10,94,4,30,6,64,11,11,2009
150,Buffalo,Jacksonville,11/22/2009,Mike Carey,12,93,6,43,6,50,13,11,2009
151,Pittsburgh,Kansas City,11/22/2009,Carl Cheffers,12,113,8,85,4,28,13,11,2009
152,Seattle,Minnesota,11/22/2009,Ed Hochuli,15,95,10,64,5,31,18,11,2009
153,Atlanta,N.Y. Giants,11/22/2009,Gene Steratore,11,80,3,16,8,64,16,11,2009
154,New Orleans,Tampa Bay,11/22/2009,Walt Coleman,7,73,4,55,3,18,7,11,2009
155,Arizona,St. Louis,11/22/2009,Bill Leavy,13,90,6,40,7,50,15,11,2009
156,San Diego,Denver,11/22/2009,Ron Winter,10,80,1,15,9,65,14,11,2009
157,N.Y. Jets,New England,11/22/2009,Jeff Triplette,11,79,5,28,6,51,14,11,2009
158,Cincinnati,Oakland,11/22/2009,Don Carey,11,72,8,59,3,13,12,11,2009
159,Philadelphia,Chicago,11/22/2009,Tony Corrente,15,110,8,46,7,64,15,11,2009
160,Tennessee,Houston,11/23/2009,Jerome Boger,12,97,5,25,7,72,14,11,2009
161,Green Bay,Detroit,11/26/2009,Bill Leavy,10,85,7,57,3,28,10,12,2009
162,Oakland,Dallas,11/26/2009,Carl Cheffers,13,118,7,70,6,48,14,12,2009
163,N.Y. Giants,Denver,11/26/2009,Tony Corrente,12,106,4,45,8,61,16,12,2009
164,Tampa Bay,Atlanta,11/29/2009,Walt Anderson,11,81,8,52,3,29,16,12,2009
165,Miami,Buffalo,11/29/2009,Jeff Triplette,9,70,6,50,3,20,11,12,2009
166,Cleveland,Cincinnati,11/29/2009,Mike Carey,14,105,4,30,10,75,16,12,2009
167,Indianapolis,Houston,11/29/2009,Al Riveron,13,154,3,25,10,129,13,12,2009
168,Chicago,Minnesota,11/29/2009,Walt Coleman,16,114,6,44,10,70,20,12,2009
169,Carolina,N.Y. Jets,11/29/2009,Jerome Boger,8,54,5,30,3,24,10,12,2009
170,Washington,Philadelphia,11/29/2009,Gene Steratore,14,99,7,39,7,60,18,12,2009
171,Seattle,St. Louis,11/29/2009,Scott Green,11,87,7,52,4,35,12,12,2009
172,Arizona,Tennessee,11/29/2009,Terry McAulay,10,63,4,25,6,38,10,12,2009
173,Kansas City,San Diego,11/29/2009,Don Carey,13,80,5,25,8,55,15,12,2009
174,Jacksonville,San Francisco,11/29/2009,John Parry,7,65,6,60,1,5,8,12,2009
175,Pittsburgh,Baltimore,11/29/2009,Ed Hochuli,14,139,5,59,9,80,16,12,2009
176,New England,New Orleans,11/30/2009,Pete Morelli,4,36,0,0,4,36,7,12,2009
177,N.Y. Jets,Buffalo,12/3/2009,Scott Green,4,23,3,18,1,5,4,13,2009
178,Philadelphia,Atlanta,12/6/2009,Ed Hochuli,14,92,8,62,6,30,20,13,2009
179,Tampa Bay,Carolina,12/6/2009,Don Carey,10,87,5,50,5,37,13,13,2009
180,St. Louis,Chicago,12/6/2009,Pete Morelli,10,120,6,85,4,35,10,13,2009
181,Detroit,Cincinnati,12/6/2009,Tony Corrente,16,120,7,45,9,75,20,13,2009
182,Tennessee,Indianapolis,12/6/2009,Ron Winter,9,90,4,50,5,40,9,13,2009
183,Houston,Jacksonville,12/6/2009,Terry McAulay,10,82,6,37,4,45,10,13,2009
184,Denver,Kansas City,12/6/2009,Jeff Triplette,6,45,3,20,3,25,10,13,2009
185,Oakland,Pittsburgh,12/6/2009,Jerome Boger,13,111,9,70,4,41,16,13,2009
186,New Orleans,Washington,12/6/2009,Carl Cheffers,9,117,7,102,2,15,10,13,2009
187,San Diego,Cleveland,12/6/2009,Walt Coleman,5,35,1,5,4,30,10,13,2009
188,Minnesota,Arizona,12/6/2009,John Parry,12,100,6,50,6,50,16,13,2009
189,Dallas,N.Y. Giants,12/6/2009,Bill Leavy,7,40,5,30,2,10,11,13,2009
190,San Francisco,Seattle,12/6/2009,Al Riveron,12,105,8,57,4,48,13,13,2009
191,New England,Miami,12/6/2009,Gene Steratore,8,92,6,82,2,10,10,13,2009
192,Baltimore,Green Bay,12/7/2009,Walt Anderson,23,310,12,135,11,175,24,13,2009
193,Pittsburgh,Cleveland,12/10/2009,Ron Winter,10,95,4,40,6,55,10,14,2009
194,New Orleans,Atlanta,12/13/2009,Tony Corrente,10,114,6,59,4,55,12,14,2009
195,Detroit,Baltimore,12/13/2009,Don Carey,9,90,4,40,5,50,10,14,2009
196,Green Bay,Chicago,12/13/2009,Mike Carey,17,139,4,30,13,109,18,14,2009
197,Seattle,Houston,12/13/2009,Pete Morelli,11,98,7,63,4,35,11,14,2009
198,Denver,Indianapolis,12/13/2009,Bill Leavy,11,85,7,65,4,20,11,14,2009
199,Miami,Jacksonville,12/13/2009,Walt Coleman,6,37,4,27,2,10,8,14,2009
200,Buffalo,Kansas City,12/13/2009,Al Riveron,8,83,3,40,5,43,11,14,2009
201,Cincinnati,Minnesota,12/13/2009,Scott Green,20,154,11,85,9,69,23,14,2009
202,Carolina,New England,12/13/2009,Terry McAulay,13,117,9,92,4,25,17,14,2009
203,N.Y. Jets,Tampa Bay,12/13/2009,Carl Cheffers,12,97,6,63,6,34,15,14,2009
204,St. Louis,Tennessee,12/13/2009,Jeff Triplette,14,122,10,82,4,40,19,14,2009
205,Washington,Oakland,12/13/2009,Walt Anderson,21,163,7,45,14,118,23,14,2009
206,San Diego,Dallas,12/13/2009,Gene Steratore,11,92,5,24,6,68,11,14,2009
207,Philadelphia,N.Y. Giants,12/13/2009,John Parry,13,99,6,45,7,54,16,14,2009
